IPC Section,Name,Description,Punishment,Bailable/Non-Bailable,Cognizable/Non-Cognizable,Category
1,Title and extent of operation of the Code,Specifies the name and territorial applicability of the IPC.,Not Applicable,Not Applicable,Not Applicable,General Provisions
2,Punishment of offences committed within India,States that anyone who commits an offence in India shall be punished under the IPC.,As per the specific offence,Depends on the offence,Depends on the offence,General Provisions
3,"Punishment of offences committed beyond, but which by law may be tried within, India","Provides that even if an act is committed outside India, if Indian law allows it to be tried in India, IPC will apply.",As per the specific offence,Depends on the offence,Depends on the offence,General Provisions
4,Extension of Code to extra-territorial offences,"IPC applies to Indian citizens outside India, offences on Indian registered ships and aircraft, and cybercrimes committed outside but impacting India.",As per the specific offence,Depends on the offence,Depends on the offence,General Provisions
5,Certain laws not to be affected by this Act,States that IPC does not affect special/local laws unless otherwise stated.,Not Applicable,Not Applicable,Not Applicable,General Provisions
6,Definitions in the Code to be understood subject to exceptions,Words defined apply subject to exceptions mentioned,Not Applicable,Not Applicable,Not Applicable,General Explanation
7,Sense of expression once explained,An expression explained once will hold same meaning throughout,Not Applicable,Not Applicable,Not Applicable,General Explanation
8,Gender,Masculine includes feminine,Not Applicable,Not Applicable,Not Applicable,General Explanation
9,Number,Singular includes plural and vice versa,Not Applicable,Not Applicable,Not Applicable,General Explanation
10,"“Man”, “Woman”",Man = male human being; Woman = female human being,Not Applicable,Not Applicable,Not Applicable,Definitions
11,“Person”,"Includes company, association or body of persons",Not Applicable,Not Applicable,Not Applicable,Definitions
12,“Public”,Any class of public or community,Not Applicable,Not Applicable,Not Applicable,Definitions
14,“Servant of Government”,Government employee or anyone legally authorized,Not Applicable,Not Applicable,Not Applicable,Definitions
17,“Government”,Refers to Central or State Government,Not Applicable,Not Applicable,Not Applicable,Definitions
18,“India”,Territory of India as per law,Not Applicable,Not Applicable,Not Applicable,Definitions
19,“Judge”,Any person legally authorized to give judgment,Not Applicable,Not Applicable,Not Applicable,Definitions
20,“Court of Justice”,Includes judges empowered to act judicially,Not Applicable,Not Applicable,Not Applicable,Definitions
21,“Public servant”,"A comprehensive list including govt employees, police, etc.",Not Applicable,Not Applicable,Not Applicable,Definitions
22,“Moveable property”,Includes corporeal property except land,Not Applicable,Not Applicable,Not Applicable,Definitions
23,"“Wrongful gain”, “Wrongful loss”",Gain by unlawful means; loss to someone unlawfully,Not Applicable,Not Applicable,Not Applicable,Definitions
24,“Dishonestly”,With intent to cause wrongful gain or loss,Not Applicable,Not Applicable,Not Applicable,Definitions
25,“Fraudulently”,With intent to defraud,Not Applicable,Not Applicable,Not Applicable,Definitions
26,“Reason to believe”,A belief held with sufficient cause,Not Applicable,Not Applicable,Not Applicable,Definitions
27,"Property in possession of wife, clerk or servant",Presumed to belong to the master,Not Applicable,Not Applicable,Not Applicable,Explanation
28,“Counterfeit”,Causing something to resemble another with intent to deceive,Not Applicable,Not Applicable,Not Applicable,Definitions
29,“Document”,Any matter expressed upon any substance with intent to be used as evidence,Not Applicable,Not Applicable,Not Applicable,Definitions
29A,“Electronic record”,"As defined in the Information Technology Act, 2000",Not Applicable,Not Applicable,Not Applicable,Definitions
30,“Valuable security”,Document securing legal right or obligation,Not Applicable,Not Applicable,Not Applicable,Definitions
31,“A will”,Legal declaration of testamentary intention,Not Applicable,Not Applicable,Not Applicable,Definitions
32,Words referring to acts include illegal omissions,Omissions count as acts if legally bound to act,Not Applicable,Not Applicable,Not Applicable,Explanation
33,"“Act”, “Omission”",Act = single or series of acts; Omission = not doing something legally bound to do,Not Applicable,Not Applicable,Not Applicable,Definitions
34,Acts done by several persons in furtherance of common intention,Each is liable as if done by them individually,Depends on offence,Depends on offence,Depends on offence,Constructive Liability
35,When act is criminal due to knowledge or intention,Liability based on mental element,Depends on offence,Depends on offence,Depends on offence,Constructive Liability
36,Effect caused partly by act and partly by omission,Still criminal,Depends on offence,Depends on offence,Depends on offence,Constructive Liability
37,Co-operation by doing one of several acts,"When combined acts constitute offence, each liable",Depends on offence,Depends on offence,Depends on offence,Constructive Liability
38,Persons concerned may be guilty of different offences,"Even if involved in one act, different individuals can be guilty of different crimes",Depends on offence,Depends on offence,Depends on offence,Constructive Liability
39,“Voluntarily”,Act done knowingly and intentionally,Not Applicable,Not Applicable,Not Applicable,Definitions
40,“Offence”,An act punishable by law,Not Applicable,Not Applicable,Not Applicable,Definitions
41,“Special law”,Law applicable to particular subject,Not Applicable,Not Applicable,Not Applicable,Definitions
42,“Local law”,Law applicable to particular part of India,Not Applicable,Not Applicable,Not Applicable,Definitions
43,"“Illegal”, “Legally bound to do”",Anything contrary to law; legally bound = required by law,Not Applicable,Not Applicable,Not Applicable,Definitions
44,“Injury”,"Harm to body, mind, reputation or property",Not Applicable,Not Applicable,Not Applicable,Definitions
45,“Life”,Human life,Not Applicable,Not Applicable,Not Applicable,Definitions
46,“Death”,Death of a human being unless contrary appears,Not Applicable,Not Applicable,Not Applicable,Definitions
47,“Animal”,Any living creature other than human,Not Applicable,Not Applicable,Not Applicable,Definitions
48,“Vessel”,Anything made for conveyance by water,Not Applicable,Not Applicable,Not Applicable,Definitions
49,"“Year”, “Month”",As per the Gregorian calendar,Not Applicable,Not Applicable,Not Applicable,Definitions
50,“Section”,Section of the Code,Not Applicable,Not Applicable,Not Applicable,Definitions
51,“Oath”,Includes affirmation/substitution by law,Not Applicable,Not Applicable,Not Applicable,Definitions
52,“Good faith”,Done with due care and attention,Not Applicable,Not Applicable,Not Applicable,Definitions
52A,“Harbour”,"Giving shelter, food or aid to a criminal",Not Applicable,Not Applicable,Not Applicable,Definitions
53,Punishments,"Lists types of punishment: death, life imprisonment, imprisonment (rigorous/simple), forfeiture of property, and fine",Not Applicable,Not Applicable,Not Applicable,Punishment Classification
53A,Construction of reference to transportation,Clarifies that “transportation” now means imprisonment for life or a term,Not Applicable,Not Applicable,Not Applicable,Interpretation
54,Commutation of sentence of death,Appropriate government may commute death sentence,Death → Life imprisonment or lesser,Not Applicable,Not Applicable,Sentence Modification
55,Commutation of life imprisonment,Government may commute life imprisonment to a lesser term (not exceeding 14 years),Life → Up to 14 years,Not Applicable,Not Applicable,Sentence Modification
55A,"""Appropriate Government""",Defines which government can commute sentence,Not Applicable,Not Applicable,Not Applicable,Definitions
57,Fractions of terms of punishment,Life imprisonment = 20 years for calculation purposes unless specified otherwise,Not Applicable,Not Applicable,Not Applicable,Interpretation
60,Sentence may be partly rigorous or simple,Allows court to split imprisonment as partly rigorous and partly simple,Not Applicable,Not Applicable,Not Applicable,Sentencing Flexibility
63,Amount of fine,Court may impose any amount of fine unless limits are specified,Not Applicable,Not Applicable,Not Applicable,Sentencing
