IPC Section,Category,Query1,Query2,Query3,Query4,Query5,Query6,Query7,Query8,Query9,Query10
1,General Provisions,Does this law apply across India?,Is IPC used in all states?,Is Indian Penal Code valid in my village?,Is IPC same for everyone in India?,Is IPC followed in Assam and Kashmir too?,Is IPC applied in tribal areas also?,Is there one law for all citizens?,Is this the main criminal law of India?,Which law covers crime in India?,Which law book is used by police?
2,General Provisions,What happens if someone commits crime in India?,How are crimes punished in India?,Is murder punishable in India?,What law punishes crime in my town?,Will he be punished under Indian law?,Police said IPC is applied—what is that?,"He committed crime in India, now what?",Is Indian law strict?,How is crime handled under Indian law?,Which section punishes crime in India?
3,General Provisions,He committed crime abroad—can India punish him?,Can Indian law catch NRI criminal?,Will he be tried if he did crime in Dubai?,He committed fraud from outside India,Can I file case in India if scammer is abroad?,He cheated from abroad—what can I do?,Can a person sitting in USA be punished here?,Is cybercrime from outside punishable?,What if criminal lives outside India?,Will NRI be punished under Indian law?
4,General Provisions,"If Indian does crime outside, what law applies?",Will Indian law apply in other countries?,My friend got cheated abroad—can IPC help?,What if crime is in ship/plane?,Does Indian law work for international crime?,Indian soldier did crime outside—what now?,"Crime happened outside India, will police help?",Is there law for foreign crime by Indians?,Will my case be valid if outside India?,Is India responsible if citizen does wrong outside?
5,General Provisions,Does IPC override all other laws?,Can state laws go against IPC?,Which law is followed—IPC or local law?,Is IPC the only law in India?,Do other laws work with IPC?,Police said other Act applies—not IPC,Is custom law stronger than IPC?,Is this law used in special zones too?,Which Act is used if there’s a conflict?,Is IPC above religious laws?
6,General Explanation,Are there exceptions to every law?,"My case looks same, but no action taken—why?",Is there any hidden rule in IPC?,What if someone is innocent under a law's exception?,Can judge ignore law if exception exists?,Is there any “but” in the section?,Are there special conditions where law doesn’t apply?,Is every law applicable blindly?,Why did police say there's an exception?,I saw same crime but different result—how?
7,General Explanation,What does IPC mean by the word “injury”?,"If a word is defined once, does it apply everywhere?",Same word has different meanings—what to do?,How does IPC decide what a word means?,Does one definition apply in full code?,Why is one section using same word differently?,"Does word ""wrongful"" mean same in all cases?",How does court interpret the words in IPC?,Does one explanation work in whole IPC?,Same word used twice—same meaning or not?
8,General Explanation,Does IPC mean “he” only for men?,Can a woman be punished if IPC says “he”?,"If IPC says man, does it include women?",Can IPC apply to ladies too?,What gender does IPC use in writing?,Why law says “he” only—what about female?,Does IPC use “he” for both men and women?,Is lady included in male words in IPC?,Does it matter if law says “he” or “she”?,"IPC says ""man"" — is woman safe under it?"
9,General Explanation,"If law says “person”, does it mean one or many?",Does number matter in IPC?,"IPC says “person”, can it be group also?",Are both singular and plural covered?,"If one person did crime, is group law same?","If “persons” are mentioned, does it mean more than one?",What if law says thief—can it be two people?,Does law differentiate between one and many?,"If section uses single word, is group involved?",Why IPC says singular but arrests many?
10,Definitions,What does law mean by man and woman?,Does IPC treat man and woman differently?,Who is called a “woman” in IPC?,Are girls also included under “woman”?,Is man only adult male in law?,Can a boy be punished as man in IPC?,My daughter is 16—she is woman in IPC?,Is “woman” same as wife in IPC?,Is man same as husband in law?,What if a person is transgender?
11,Definitions,What does IPC mean by “person”?,Is company also a person in IPC?,Can group be treated as one person?,Is NGO a person in law?,Can a temple trust be punished?,Police said person includes company—is it true?,Are minors also called persons?,Is legal person different from human?,Is machine ever called person in law?,Who is not a person under IPC?
12,Definitions,What is “public” in Indian law?,Does public mean village people?,How many people make public in IPC?,Is a group of 10 public?,Is society part of public?,Can family be called public?,When does gathering become public?,Are customers in market called public?,Does public include private people?,Are protestors part of public?
14,Definitions,Who is called government servant?,Is school teacher a govt servant?,Are anganwadi workers govt servants?,What about panchayat worker?,Is a contract worker a govt employee?,Are bank employees govt servants?,Is Sarpanch covered under this?,Is police constable govt servant?,What if govt pays but not full time?,Does sweeper in hospital come under this?
17,Definitions,What does IPC mean by “Government”?,Is state government same as central here?,Does “Government” mean PM or CM?,Who is included in “government” in law?,Is local government included?,Does municipal office count as government?,Who represents government in IPC cases?,Is court part of govt under IPC?,Is police part of govt or separate?,Does panchayat come under govt?
18,Definitions,What is “India” in IPC?,Does IPC apply in Jammu & Kashmir?,Is Ladakh included in this law?,Does IPC apply in union territories?,Is India same as Bharat in law?,Is army cantonment under India in IPC?,Is border area included in Indian law?,Which parts are excluded from IPC?,Does IPC apply to tribal areas?,Does India mean whole country in this law?
19,Definitions,Who is called a judge in IPC?,Is magistrate same as judge?,Can Sarpanch be called judge?,Is civil court judge covered in IPC?,Is revenue officer a judge?,Who decides punishment in court?,Is principal of school a judge?,Judge and justice—same thing?,Who is not a judge under IPC?,Are religious heads judges in law?
20,Definitions,What is a “Court of Justice”?,Is lok adalat a court of justice?,Does village court count as real court?,Is police station court of justice?,Does judge’s private room count as court?,Does panchayat work as court of justice?,Can sessions court give final judgment?,What makes a place a court under law?,Is online court valid in IPC?,Are district courts courts of justice?
21,Definitions,Who is a public servant?,Is teacher a public servant?,Are policemen public servants?,Is postman under public servant?,What about govt doctor?,Is MLA a public servant?,Are railway staff public servants?,Is bank manager a public servant?,Are panchayat members public servants?,Is judge also a public servant?
22,Definitions,What is “moveable property” in law?,Is land moveable property?,Is gold considered moveable property?,Are animals moveable in IPC?,Is tractor a moveable item?,Can house be moveable property?,Is mobile phone moveable property?,Are documents considered moveable?,Is bike a moveable asset in IPC?,What if item is attached to ground?
23,Definitions,He gained money by cheating me,He took land wrongly,They made me lose my property,He tricked me and made profit,My loss became his gain,He took my shop forcefully,My father was made to sign false documents,He earned by harming me,He snatched my customer,He got benefit by my loss
24,Definitions,He took it knowing it's not his,He stole from me on purpose,He knew he was doing wrong,He did it knowingly,"It was not mistake, he did it knowingly",He lied and took my gold,He was dishonest with money,He had full intention to cheat,He took bribe on purpose,He knew it's fraud but still did it
25,Definitions,He made fake documents to fool us,He cheated us by fraud papers,He lied to bank with fake info,He used wrong identity to get loan,He knew it was fake but still used it,He did fraud for his benefit,He trapped my mother in a scam,They tricked villagers with fake scheme,He used someone else's name to steal,He filled false info for ration card
26,Definitions,"I told him it's fake, still he used it",He had reason to doubt but ignored it,He saw it was stolen but bought anyway,He acted like he didn’t know truth,He pretended not to know but he knew,He was warned but still did wrong,"Police told him, but he ignored warning",He knew something was wrong but didn't care,He had enough clues but acted innocent,He saw others get caught but still tried
27,Explanation,My servant took my gold and ran away,My wife took the money and gave it to her brother,My employee stole office items,My clerk ran away with locker keys,My housemaid sold my sarees,My driver stole my husband's phone,My servant’s son took our ration card,My wife hid the cash box,The worker took money from shop drawer,My accountant took client money
