BNS Section,Category,Query1,Query2,Query3,Query4,Query5,Query6,Query7,Query8,Query9,Query10
14,"Act done by a person bound, or by mistake of fact believing himself bound, by law","I thought I had to stop him, so I held him","Police told me to help, so I blocked the gate",I believed it was my duty to check his bag,"I was told to guard the place, so I didn’t let him in","Someone said he’s a thief, so I caught him","I followed the order, thought it was legal","I thought it was law, so I acted",I thought I was helping the police,I believed the rule said to stop outsiders,I acted because I was told it’s the law
15,Act of judge when acting judicially,Judge gave punishment but later people said he was wrong,"Court took decision, but now they blame the judge","Judge ordered arrest, now they say it was unfair",Court decision hurt someone but was by law,"The order came from court, not his personal choice",Judge acted according to law book,"He gave decision in courtroom, not from personal wish","Court punished my son, now we are angry",They said the judge is guilty but he was doing duty,"He passed judgment, that’s his job"
16,Act done pursuant to court order,"Police arrested on court’s direction, now blamed",I followed court’s written order to seal the shop,"Judge gave order, so I helped stop the tractor",The court told me to check his land,I acted after seeing court paper,"Court gave notice, I just followed it",I helped in eviction because judge said so,I blocked the door because order was legal,"The notice was signed by court, I didn’t act alone",I thought I was obeying court rule
17,"Act done by person justified, or by mistake believing so",I thought I was allowed to remove the fence,"I believed the land was mine, so I cleaned it","I thought I was stopping a thief, but he was innocent",I hit him thinking he was attacking me,I acted to protect my home,I believed I had the right to stop him,"He entered my field, I thought I could push him",I thought law allowed me to do that,"I didn’t know it was wrong, I was just helping",I thought I was stopping a fight
18,Accident in doing a lawful act,I was cutting wood and it fell on someone,"I was driving slowly, still accident happened","While building the wall, someone got hurt","I was cleaning, but someone slipped and fell",Accident happened even though I was careful,"I didn't intend to harm, it just happened","I was harvesting, he came too close","Tractor was slow, still it hit a child","I was lighting a lamp, fire spread by mistake",I didn’t know he was behind me when I moved the cart
19,Harm done without bad intent to prevent bigger harm,"I shouted to clear the crowd, someone fell",I broke window to pull child from fire,"I cut wire to stop shock, but power went out","I threw stone to scare dog, it hit someone","I pushed man to save another, he got hurt",I broke lock to free a trapped woman,"I shouted fire and people rushed, some fell","I hit him to stop a fight, he got injury","I spilled water to stop fire, floor got damaged","I kicked bike to stop theft, it got dented"
20,Act of child under 7 years,"My son is only 5, he broke someone’s phone",A small boy threw stone and hurt a dog,Kid picked up knife and scratched someone,"He’s just 6, he didn’t know stealing is wrong","Boy broke a cycle, he didn’t know its cost","Little kid shouted bad words, he didn’t mean it","Child spilled oil, someone slipped",My child picked up money thinking it’s his,He’s too small to understand crime,He thought the fruit belonged to him
21,Act of child 7–12 with immature mind,"My daughter is 9, she took sweets thinking it’s free","He’s 10, doesn’t know it’s wrong to lie",My son hit someone but didn’t know it's serious,"He played prank with matchstick, house caught fire",Kid pushed someone without knowing danger,"She lied in fear, not to cheat",11-year-old didn’t know touching others is wrong,Boy dropped eggs thinking they were playthings,He didn’t know money in drawer was not his,"He copied others, thought it was fun"
22,Act of person of unsound mind,"He is mentally unwell, didn’t know what he was doing","My brother is mad, he hit someone","She has mental illness, broke things in house",That boy doesn't know right or wrong,Doctor said he has mental problem,He threw stones at people but doesn’t remember,He was talking to himself and broke a mirror,She attacked someone during her episode,"Family says he’s mentally sick, not criminal","He’s under treatment, can’t control himself"
23,Act of a person incapable of judgment by reason of intoxication caused against his will,"Someone forced me to drink, I didn’t know what I was doing","I was not in control, he made me drink it",They gave me something in tea and I lost sense,"I don’t remember anything, they gave me alcohol forcefully",I drank something thinking it was medicine,"He lied and gave me liquor, then I acted wrongly",I was not drunk by my own choice,I had no idea I was drugged,He gave me drink by force and then blamed me,I was made drunk without my will
24,Offence requiring intent but committed under intoxication,I was drunk and didn’t know what I was doing,"I did it thinking it was a joke, but now people are angry","I said wrong things in alcohol, didn’t mean to","I didn’t know this was wrong, I was drunk","He was drunk and angry, so he hit someone","He acted in alcohol, without understanding","I burned it by mistake, I was not in senses","I hit someone on police word, but I was not in senses",People do things in drink they don’t understand,"I didn’t mean it, I was under alcohol"
25,"Act not known to cause serious harm, done with consent","We both agreed, but it hurt badly","He told me to hit a little, but injury was deep","We were playing, but someone got hurt","He said it's fine, but now he blames me","He gave permission for treatment, now says I harmed him","He said okay to action, but got more pain","It was a friendly fight, but things went wrong","He said he’s not scared, so I lit the cracker","He gave full consent, now case is filed","It was his idea, but I got blamed"
