BNS Section,Description,Punishment,Bailable/Non-Bailable,Cognizable/Non-Cognizable,Category
14,"A person acting under a lawful duty, or under a mistake of fact thinking he is bound by law, is not criminally liable.",Not punishable because there is no criminal intent; the person is either legally obligated or honestly mistaken about a duty.,"Bailability does not arise unless the court rejects the exception; if rejected, underlying offence determines bailability.",Cognizable only if the act is found unlawful and the exception is denied during investigation.,General Exception
15,A judge acting within legal jurisdiction and in good faith is immune from criminal prosecution.,"Not punishable because judges are protected to ensure independent judicial function, unless malice is proven.",Bailability is not relevant because judges cannot be arrested for acts done judicially unless permitted by higher authority.,Not cognizable as criminal complaints against judicial acts require sanction or appeal to a superior court.,General Exception
16,"A person acting under a court order, even if the order is later invalidated, is not criminally liable.","Not punishable because the executor is acting under presumed lawful authority, and liability lies with the issuing court.",Bailability is irrelevant unless the act exceeds the scope of the court order; then the base offence determines bailability.,Not cognizable if action stays within court’s instructions; cognizable only if clearly unlawful or exceeds the mandate.,General Exception
17,"If a person acts in good faith believing the law justifies their act (due to mistake of fact), they are not liable.",Not punishable if belief is honest and based on mistake of fact; punishment applies only if mistake is of law.,"Bail depends on whether the exception is upheld; if rejected, the base offence governs bailability.",Cognizable only if the justification fails and the underlying act itself constitutes an offence.,General Exception
18,Harm caused accidentally during a lawful act done with due care is not punishable.,Not punishable as there is no intent or negligence; law exempts accidental harm occurring during lawful activity.,"Bailability applies only if negligence or recklessness is later established, in which case the person may be tried.",Not cognizable unless police find prima facie evidence of criminal negligence behind the act.,General Exception
19,"An act done without criminal intent to prevent greater harm (e.g., breaking a door to save a life) is not an offence.",Not punishable because the law prioritizes prevention of more serious harm over technical wrongdoing.,"Bailability is relevant only if court finds the act excessive or disproportional; otherwise, not applicable.",Cognizable only if the preventive act becomes disproportionate or malicious and the exception fails.,General Exception
20,"Children below 7 are legally incapable of forming criminal intent (doli incapax), hence not liable.",Not punishable because children of this age lack the mental maturity to understand the nature of the act.,Bailability does not apply as the child cannot be arrested or prosecuted; they are instead referred for counselling or supervision.,Not cognizable because police cannot file a criminal case against a child under 7 under any condition.,General Exception
21,Children between 7 and 12 are exempt if the court believes they lacked maturity to understand the offence.,Not punishable if the child is found incapable of understanding the consequences of their act.,"If found mature, the case proceeds and bail is determined by the base offence; if not, child is released to guardianship.",Cognizable only if sufficient maturity and intent are shown; otherwise handled by Juvenile Justice Board.,General Exception
22,A person unable to know the nature or wrongness of their act due to mental illness is exempt from liability.,"Not punishable because intent (mens rea) is absent and such individuals may need psychiatric care, not prison.",Bailability is usually not needed as court orders medical observation or treatment instead of custody.,"Not cognizable unless mental health evaluation proves sanity; until then, medical intervention replaces criminal process.",General Exception
23,"Involuntary intoxication (e.g., drugged unknowingly) nullifies responsibility if the person was incapable of judgment.",Not punishable if the intoxication is proven to be against the person’s will and they lacked understanding of their act.,Bail is not required unless act was serious; the court may order medical testing to confirm intoxication status.,Cognizable if injury or serious consequence occurs; otherwise handled cautiously during investigation.,General Exception
24,A voluntarily intoxicated person is not exempt unless the offence requires specific intent or knowledge that the person was incapable of forming.,Punishable if intent or knowledge can be proven despite intoxication; intoxication does not provide blanket immunity.,Bailability depends on the severity of the offence committed while intoxicated; it does not automatically affect bail status.,"Cognizable or non-cognizable is decided based on the nature of the offence committed under intoxication, not the intoxication itself.",General Exception
25,"If a person, with consent, performs an act without intention or knowledge that it may cause death or grievous hurt, they are not liable. This recognizes individual autonomy and absence of criminal intent.","Not punishable because the act was consensual, done without criminal intent or foreseeable risk of severe harm.","Bailability becomes relevant only if the consent is later disputed; otherwise, arrest is not required.",Cognizability arises only if injury caused is serious and consent is deemed invalid by court.,General Exception
