IPC Section,Name,Description,Punishment,Bailable/Non-Bailable,Cognizable/Non-Cognizable,Category
1,Title and extent of operation of the Code,Specifies the name and territorial applicability of the IPC.,Not Applicable,Not Applicable,Not Applicable,General Provisions
2,Punishment of offences committed within India,States that anyone who commits an offence in India shall be punished under the IPC.,As per the specific offence,Depends on the offence,Depends on the offence,General Provisions
3,"Punishment of offences committed beyond, but which by law may be tried within, India","Provides that even if an act is committed outside India, if Indian law allows it to be tried in India, IPC will apply.",As per the specific offence,Depends on the offence,Depends on the offence,General Provisions
4,Extension of Code to extra-territorial offences,"IPC applies to Indian citizens outside India, offences on Indian registered ships and aircraft, and cybercrimes committed outside but impacting India.",As per the specific offence,Depends on the offence,Depends on the offence,General Provisions
5,Certain laws not to be affected by this Act,States that IPC does not affect special/local laws unless otherwise stated.,This section provides a saving clause and does not impose punishment directly. Punishment depends on the special law in question.,"Not applicable – this section defines an exception, not an offence. Bailability depends on the offence under the special law.","Not applicable – this section defines an exception, not an offence. Cognizability depends on the offence under the special law.",General Provisions
6,Definitions in the Code to be understood subject to exceptions,Words defined apply subject to exceptions mentioned,This section defines a legal rule and does not impose punishment. Punishment depends on offences where definitions apply.,"Not applicable – this section defines a rule, not an offence. Bailability depends on the offence where this applies.","Not applicable – this section defines a rule, not an offence. Cognizability depends on the offence where this applies.",General Explanation
7,Sense of expression once explained,An expression explained once will hold same meaning throughout,This section defines a principle and does not impose punishment directly. Punishment depends on offences using such expressions.,"Not applicable – this section defines a principle, not an offence. Bailability depends on the offence where this principle is applied.","Not applicable – this section defines a principle, not an offence. Cognizability depends on the offence where this principle is applied.",General Explanation
8,Gender,Masculine includes feminine,This section provides a definition and does not impose punishment directly. Punishment depends on the offence where gender usage is relevant.,"Not applicable – this section defines a term, not an offence. Bailability depends on the offence where this concept applies.","Not applicable – this section defines a term, not an offence. Cognizability depends on the offence where this concept applies.",General Explanation
9,Number,Singular includes plural and vice versa,This section provides a definition and does not impose punishment directly. Punishment depends on offences using such expressions.,"Not applicable – this section defines a term, not an offence. Bailability depends on the offence where this concept applies.","Not applicable – this section defines a term, not an offence. Cognizability depends on the offence where this concept applies.",General Explanation
10,"“Man”, “Woman”",Man = male human being; Woman = female human being,This section provides a definition and does not impose punishment directly. Punishment depends on the offence where these terms are applied.,"Not applicable – this section defines terms, not an offence. Bailability depends on the offence where these terms apply.","Not applicable – this section defines terms, not an offence. Cognizability depends on the offence where these terms apply",Definitions
11,“Person”,"Includes company, association or body of persons",This section provides a definition and does not impose punishment directly. Punishment depends on the offence involving a person as defined here.,"Not applicable – this section defines a term, not an offence. Bailability depends on the offence where this applies.","Not applicable – this section defines a term, not an offence. Cognizability depends on the offence where this applies.",Definitions
12,“Public”,Any class of public or community,This section provides a definition and does not impose punishment directly. Punishment depends on the offence where ‘public’ is relevant.,"Not applicable – this section defines a term, not an offence. Bailability depends on the offence where this applies.","Not applicable – this section defines a term, not an offence. Cognizability depends on the offence where this applies.",Definitions
14,“Servant of Government”,Government employee or anyone legally authorized,This section provides a definition and does not impose punishment directly. Punishment depends on offences involving such servants.,"Not applicable – this section defines a term, not an offence. Bailability depends on the offence where this applies.","Not applicable – this section defines a term, not an offence. Cognizability depends on the offence where this applies.",Definitions
17,“Government”,Refers to Central or State Government,This section provides a definition and does not impose punishment directly. Punishment depends on offences involving the Government.,"Not applicable – this section defines a term, not an offence. Bailability depends on the offence where this applies.","Not applicable – this section defines a term, not an offence. Cognizability depends on the offence where this applies.",Definitions
18,“India”,Territory of India as per law,"Not applicable – this section defines a term, not an offence. Cognizability depends on the offence where this applies.","Not applicable – this section defines a term, not an offence. Bailability depends on the offence where this applies.","Not applicable – this section defines a term, not an offence. Cognizability depends on the offence where this applies.",Definitions
19,“Judge”,Any person legally authorized to give judgment,This section provides a definition and does not impose punishment directly. Punishment depends on offences committed by or against a judge.,"Not applicable – this section defines a term, not an offence. Bailability depends on the offence where this applies.","Not applicable – this section defines a term, not an offence. Cognizability depends on the offence where this applies.",Definitions
20,“Court of Justice”,Includes judges empowered to act judicially,This section provides a definition and does not impose punishment directly. Punishment depends on offences involving acts committed by or in a court of justice.,"Not applicable – this section defines a term, not an offence. Bailability depends on the offence where this applies.","Not applicable – this section defines a term, not an offence. Cognizability depends on the offence where this applies.",Definitions
21,“Public servant”,"A comprehensive list including govt employees, police, etc.","This section defines a public servant and does not impose punishment. Punishment depends on offences involving a public servant (e.g., corruption, misconduct).","Not applicable – this section defines a term, not an offence. Bailability depends on the specific offence.","Not applicable – this section defines a term, not an offence. Cognizability depends on the specific offence.",Definitions
22,“Moveable property”,Includes corporeal property except land,"This section defines movable property and does not impose punishment. Punishment depends on offences where movable property is involved (e.g., theft).","Not applicable – defines a concept, not an offence. Bailability depends on the offence.","Not applicable – defines a concept, not an offence. Cognizability depends on the offence.",Definitions
23,"“Wrongful gain”, “Wrongful loss”",Gain by unlawful means; loss to someone unlawfully,This section defines legal concepts and does not impose punishment. Punishment depends on offences like theft or cheating involving wrongful gain/loss.,Not applicable – concept definition. Bailability depends on the offence.,Not applicable – concept definition. Cognizability depends on the offence.,Definitions
24,“Dishonestly”,With intent to cause wrongful gain or loss,"This section defines dishonesty and does not impose punishment. Punishment depends on offences involving dishonesty (e.g., cheating, misappropriation).",Not applicable – concept definition. Bailability depends on the offence.,Not applicable – concept definition. Cognizability depends on the offence.,Definitions
25,“Fraudulently”,With intent to defraud,"This section defines fraudulent intent and does not impose punishment. Punishment depends on offences involving fraud (e.g., cheating with intent).",Not applicable – concept definition. Bailability depends on the offence.,Not applicable – concept definition. Cognizability depends on the offence.,Definitions
26,“Reason to believe”,A belief held with sufficient cause,"This section defines a standard of belief and does not impose punishment. Punishment depends on offences where this belief is relevant (e.g., suspicion of theft).",Not applicable – concept definition. Bailability depends on the offence.,Not applicable – concept definition. Cognizability depends on the offence.,Definitions
27,"Property in possession of wife, clerk or servant","If stolen or misappropriated property is found with someone (e.g., wife, clerk, servant) acting on behalf of another person, it’s presumed to be in that person's possession unless proven otherwise.","This section defines a legal presumption and does not impose punishment. Punishment depends on the offence (e.g., receiving stolen property, theft).","Not applicable – this section is a presumption clause, not an offence. Bailability depends on the related offence (e.g., Sec 411: Bailable).","Not applicable – this section is a presumption clause, not an offence. Cognizability depends on the related offence (e.g., Sec 411: Cognizable).",Explanation
28,“Counterfeit”,Causing something to resemble another with intent to deceive,"This section provides a definition only. Punishment depends on offences like forgery (e.g., Sec 463, 489A) using counterfeit items.","Not applicable – defines intent, not an offence. Bailability depends on the main offence (e.g., forgery: Non‑Bailable).","Not applicable – defines intent, not an offence. Cognizability depends on the main offence (e.g., forgery: Cognizable).",Definitions
