Scheme Name,Category,Description,Apply Link,Min Age,Max Age,Gender,Caste,Income Max (Annual),Occupation,Disability Required,Marital Status,Religion,State,Education Required,Minority Status,For Orphans,Eligibility Summary
Crop Insurance Scheme,Department of Agriculture and Farmers Welfare,"The Crop Insurance Scheme aims to provide financial support to farmers in case of crop loss due to natural calamities, pests, or diseases. It ensures stability in farmers' income and encourages them to adopt innovative and modern agricultural practices.",https://www.myscheme.gov.in,18,None,Any,Any,27000,Farmer,Any,Any,Any,Central,None,Any,Any,All farmers (including tenant/sharecroppers) growing notified crops in notified areas.
Market Intervention Scheme and Price Support Scheme (MIS-PSS),Department of Agriculture and Farmers Welfare,"MIS-PSS supports farmers by procuring perishable and horticultural commodities at minimum support prices during a price fall, ensuring they are protected against market fluctuations.",https://www.myscheme.gov.in,18,None,Any,Any,27000,Farmer,Any,Any,Any,Central,None,Any,Any,Farmers growing notified commodities in states/UTs where procurement is announced by the government.
Distribution of Pulses to States/UTs for Welfare Schemes,Department of Agriculture and Farmers Welfare,"This initiative supplies pulses at subsidized rates to states and UTs for distribution through welfare schemes, ensuring nutritional support to economically disadvantaged groups.",https://www.myscheme.gov.in,None,None,Any,Any,27000,Any,Any,Any,Any,Central,None,Any,Any,BPL households and beneficiaries of state/UT welfare programs as per local eligibility criteria.
Pradhan Mantri Kisan Samman Nidhi (PM-Kisan),Department of Agriculture and Farmers Welfare,PM-Kisan is a central sector scheme providing income support of Rs. 6000 per year in three equal installments to all landholding farmer families to supplement their financial needs.,https://www.myscheme.gov.in,18,None,Any,Any,27000,Farmer,No,Any,Any,Central,None,No,Any,All landholding farmer families with cultivable land are eligible; institutional landholders are excluded.
Agriculture Infrastructure Fund (AIF),Department of Agriculture and Farmers Welfare,AIF provides medium-to-long term debt financing for investment in viable projects for post-harvest management infrastructure and community farming assets.,https://www.myscheme.gov.in,18,None,Any,Any,null,FPOs / SHGs / Startups / Govt Agencies,Any,Any,Any,Central,None,Any,Any,"FPOs, SHGs, PACS, agri-entrepreneurs, startups, and govt agencies working on agri-infra projects."
National Beekeeping and Honey Mission (NBHM),Department of Agriculture and Farmers Welfare,"NBHM aims to promote holistic growth of the beekeeping sector through research, technology promotion, infrastructure development, and market linkages for honey and other beehive products.",https://www.myscheme.gov.in,18,None,Any,Any,27000,Beekeeper / Farmer / Entrepreneur,Any,Any,Any,Central,None,Any,Any,"Beekeepers, farmers, cooperatives, startups, and orgs involved in honey production/processing."
Blended Capital Support to Finance Startups for Agriculture and Rural Enterprise,Department of Agriculture and Farmers Welfare,"A ₹750 cr blended-capital fund (AgriSURE) co-invested by GoI & NABARD to finance agritech & rural startups, FPOs, and value-chain actors via AIFs & direct investments over 10 years.",https://www.myscheme.gov.in,18,None,Any,Any,27000,Startup / FPO / Agritech Firm,Any,Any,Any,Central,None,Any,Any,"Startups & AIFs in agri, rural enterprise, FPOs, food-processing, energy, mechanisation; must meet GoI startup norms."
NAMO Drone Didi,Department of Agriculture and Farmers Welfare,"A central scheme to equip 14,500–15,000 women-led SHGs under DAY‑NRLM with drones (80% subsidy up to ₹8 lakh), plus training for rental services in spraying/crop monitoring.",https://www.myscheme.gov.in,18,None,Female,Any,27000,SHG Member,Any,Any,Any,Central,10th,Any,Any,Women-led SHGs under DAY‑NRLM from rural low-income groups in agriculture; 1 member must complete DGCA-aligned pilot training.
Cotton Technology Mission,Department of Agriculture and Farmers Welfare,"A mission to promote advanced tech for cotton cultivation with ₹500 cr—covering hybrids, ICT, machinery, and farmer training.",https://www.myscheme.gov.in,18,None,Any,Any,27000,Farmer / FPO / Agritech Provider,Any,Any,Any,Central,None,Any,Any,"Farmers, cooperatives, FPOs, and agritech providers adopting modern cotton cultivation technologies under mission guidelines."
Mission for Vegetables and Fruits,Department of Agriculture and Farmers Welfare,"₹500 cr mission for enhancing production, infrastructure, processing, and marketing of vegetables and fruits.",https://www.myscheme.gov.in,18,None,Any,Any,27000,Farmer / FPO / Cooperative / Agrienterprise,Any,Any,Any,Central,None,Any,Any,"Farmers, FPOs, cooperatives, agrienterprises in horticulture, cold chains, processing linked to mission components."
